City,Labor Force,Employment,Unemployment Number,Unemployment Rate
Lawndale,"16,700","15,900",700,4.3%
Lennox,"10,600","10,000",600,5.9%
Littlerock,500,500,0,6.8%
Lomita,"11,500","11,000",500,4.0%
Long Beach,"239,200","227,100","12,100",5.1%
Los Angeles,"2,066,100","1,968,400","97,700",4.7%
Lynwood,"28,600","27,000","1,600",5.7%
Malibu,"6,600","6,400",200,2.9%
Manhattan Beach,"19,900","19,200",700,3.5%
Marina del Rey,"7,100","6,900",200,3.1%
Mayflower Village,"3,100","3,000",100,3.4%
Maywood,"12,400","11,900",500,4.2%
Monrovia,"21,000","20,200",800,3.9%
Montebello,"29,100","27,600","1,500",5.2%
Monterey Park,"29,500","28,300","1,200",4.1%
North El Monte,"1,800","1,800",0,2.1%
Norwalk,"50,700","48,200","2,500",4.9%
Palmdale,"64,300","60,300","4,000",6.2%
Palos Verdes Estates,"5,700","5,600",100,2.0%
Paramount,"24,800","23,500","1,300",5.3%
Pasadena,"79,200","76,000","3,200",4.0%
Pico Rivera,"30,500","28,900","1,500",5.0%
Pomona,"67,900","64,500","3,500",5.1%
Quartz Hill,"4,200","4,000",200,4.8%
Rancho Palos Verdes,"19,800","19,000",800,4.0%
Redondo Beach,"41,400","39,800","1,600",3.8%
Rolling Hills,600,600,0,4.1%
Rolling Hills Estates,"3,500","3,400",100,2.5%
Rosemead,"25,200","24,100","1,100",4.5%
Rowland Heights,"24,700","24,000",800,3.1%
San Dimas,"18,000","17,200",800,4.3%
San Fernando,"11,800","11,200",600,4.9%
San Gabriel,"21,500","20,600",800,3.9%
San Marino,"5,600","5,500",100,2.2%
Santa Clarita,"112,600","107,900","4,800",4.2%
Santa Fe Springs,"8,300","8,100",300,3.0%
Santa Monica,"56,600","54,100","2,600",4.5%
Sierra Madre,"5,800","5,600",200,3.8%
Signal Hill,"6,300","6,100",200,3.9%
South El Monte,"9,300","8,900",400,4.2%
South Gate,"42,800","40,700","2,100",4.9%
South Pasadena,"15,000","14,400",600,4.2%
South San Gabriel,"4,100","4,000",100,3.5%
South San Jose Hills,"9,200","8,600",600,6.1%
South Whittier,"27,200","26,200","1,000",3.8%
Temple,"18,300","17,600",700,3.9%
Torrance,"78,600","75,600","3,000",3.8%
Val Verde,"1,600","1,500",100,8.2%
Valinda,"12,600","11,900",700,5.9%
Vernon,0,0,0,7.1%
View Park Windsor Hills,"5,500","5,100",500,8.4%
Walnut,"16,000","15,400",600,3.5%
Walnut Park,"7,600","7,300",400,5.1%
West Athens,"4,600","4,200",300,7.5%
West Carson,"11,300","10,800",500,4.2%
West Covina,"53,100","50,600","2,400",4.6%
West Hollywood,"27,200","25,800","1,400",5.0%
West Puente Valley,"11,300","10,600",700,6.2%
West Whittier Los Nietos,"12,800","12,300",400,3.2%
Westlake Village,"4,000","3,900",100,2.5%
Westmont,"13,300","12,100","1,100",8.5%
Whittier,"44,100","41,900","2,100",4.9%
Willowbrook,"9,600","8,900",700,7.1%
Bonadelle Ranchos Madera Ranchos,"4,300","4,100",200,4.6%
Chowchilla,"4,400","4,200",200,5.0%
Madera Acres,"5,000","4,800",200,4.3%
Madera,"27,600","25,700","1,900",7.0%
Oakhurst,"1,800","1,700",100,6.4%
Parksdale,"1,200","1,100",100,7.0%
Parkwood,"1,000",900,100,8.4%
Yosemite Lakes,"1,900","1,800",100,6.9%
Bootjack,330,320,10,4.2%
Mariposa,680,670,10,1.3%
Yosemite Valley,"1,010","1,000",10,1.0%
Covelo,440,410,20,5.1%
Fort Bragg,"3,450","3,350",90,2.7%
Laytonville,440,390,50,10.9%
Mendocino,390,390,0,0.0%
Point Arena,270,260,10,2.6%
Ukiah,"7,300","6,940",360,4.9%
Willits,"1,910","1,860",40,2.3%
Atwater,"12,200","11,300",900,7.5%
Delhi,"5,000","4,600",400,7.3%
Dos Palos,"2,100","1,900",200,7.3%
Gustine,"2,800","2,500",200,8.0%
Hilmar Irwin,"2,800","2,800",100,1.9%
