City,Median Age
Fulton ,37.80
Vallejo ,37.90
San Lorenzo ,37.90
Phelan ,37.90
Montague ,37.90
Monrovia ,37.90
La Mirada ,37.90
Greenacres ,37.90
Gardena ,37.90
Diablo Grande ,37.90
Cutten ,37.90
Colfax ,37.90
Blythe ,38.00
Truckee ,38.00
Kelseyville ,38.00
South San Francisco ,38.10
Rosemead ,38.10
Menifee ,38.10
Manila ,38.10
Fortuna ,38.10
Rodeo ,38.20
Los Alamos ,38.20
Dorris ,38.20
Artesia ,38.20
Smartsville ,38.30
Rio Dell ,38.30
Daly City ,38.30
Campbell ,38.30
Blue Lake ,38.30
Livermore ,38.30
Clyde ,38.40
Casa Conejo ,38.40
Brooktrails ,38.40
Bieber ,38.40
San Martin ,38.50
San Francisco ,38.50
Redding ,38.50
Bertsch-Oceanview ,38.50
Sisquoc ,38.60
Golden Hills ,38.60
Elverta ,38.60
Claremont ,38.60
San Juan Bautista ,38.70
Menlo Park ,38.70
Los Alamitos ,38.70
Camanche Village ,38.70
Brea ,38.70
Westminster ,38.70
Tarpey Village ,38.80
San Bruno ,38.80
Live Oak CDP ,38.80
Joshua Tree ,38.80
Shasta Lake ,38.80
San Mateo ,38.90
Burbank ,38.90
Bishop ,38.90
San Buenaventura ,39.00
Mount Hermon ,39.00
Hercules ,39.00
Hemet ,39.00
Creston ,39.00
Arden-Arcade ,39.00
Winterhaven ,39.00
Sutter ,39.10
Oak Hills ,39.10
Lakeside ,39.10
Fort Jones ,39.10
Buellton ,39.10
Bermuda Dunes ,39.10
Lockeford ,39.20
El Segundo ,39.20
San Leandro ,39.30
Redondo Beach ,39.30
Needles ,39.30
Foster City ,39.30
Boron ,39.30
Alhambra ,39.30
Maricopa ,39.40
Spreckels ,39.40
El Portal ,39.40
Valley Ford ,39.50
Norco ,39.50
Hartland ,39.50
Carpinteria ,39.50
Oak View ,39.60
Niland ,39.60
Lomita ,39.60
Lemon Cove ,39.60
Discovery Bay ,39.60
Mcarthur ,39.60
Sonora ,39.70
San Clemente ,39.70
Cloverdale ,39.70
Round Valley ,39.80
Opal Cliffs ,39.80
Eldridge ,39.80
Bradley ,39.80
Valley Acres ,39.80
Portola ,39.80
Woodcrest ,39.90
Johnstonville ,39.90
Jacumba ,39.90
Duarte ,39.90
Cupertino ,39.90
Clearlake ,39.90
Alturas ,39.90
Geyserville ,39.90
Cypress ,39.90
Valley Home ,40.00
Salton Sea Beach ,40.00
Richfield ,40.00
Point Arena ,40.00
Mission Hills ,40.00
Marina Del Rey ,40.00
Laytonville ,40.00
Garberville ,40.00
Fellows ,40.00
Calistoga ,40.00
South Pasadena ,40.10
Rosedale ,40.10
Prunedale ,40.10
Plymouth ,40.10
Hacienda Heights ,40.10
Rowland Heights ,40.20
Meiners Oaks ,40.20
Glendora ,40.20
East San Gabriel ,40.20
San Rafael ,40.20
San Juan Capistrano ,40.20
Huntington Beach ,40.20
Snelling ,40.30
Petaluma ,40.30
Clearlake Riviera ,40.30
San Gabriel ,40.30
Davenport ,40.30
West Hollywood ,40.40
Tahoe Vista ,40.40
Santa Monica ,40.40
Placerville ,40.40
Montgomery Creek ,40.40
Carlsbad ,40.40
Artois ,40.40
West Menlo Park ,40.40
Frazier Park ,40.40
Richvale ,40.50
Pleasanton ,40.50
Mono Vista ,40.50
Mcswain ,40.50
East Pasadena ,40.50
Culver City ,40.50
Burlingame ,40.50
South San Gabriel ,40.50
Lincoln ,40.50
Yucca Valley ,40.60
Walnut Grove ,40.60
Lebec ,40.60
El Sobrante ,40.60
El Dorado Hills ,40.60
Cameron Park ,40.60
Zayante ,40.70
Sunnyside-Tahoe City ,40.70
Sheridan ,40.70
Searles Valley ,40.70
San Simeon ,40.70
Pleasant Hill ,40.70
Coronado ,40.70
Alameda ,40.70
Orangevale ,40.70
Templeton ,40.80
Redway ,40.80
Los Berros ,40.80
Laguna Hills ,40.80
Healdsburg ,40.80
Camarillo ,40.80
Vina ,40.90
Palermo ,40.90
Manhattan Beach ,40.90
Belmont ,40.90
North Edwards ,41.00
Mono City ,41.00
Larkfield-Wikiup ,41.00
Lake Mathews ,41.00
Glendale ,41.00
Atascadero ,41.00
Alto ,41.00
Diamond Bar ,41.00
Bayview ,41.00
Stirling City ,41.10
Santa Margarita ,41.10
San Diego Country Estates ,41.10
Mayflower Village ,41.10
Fairview ,41.10
Courtland ,41.10
Redwood Valley ,41.20
Hidden Valley Lake ,41.20
Castro Valley ,41.20
Rancho San Diego ,41.20
La Palma ,41.20
Torrance ,41.30
Spring Valley Lake ,41.30
San Pasqual ,41.30
Poway ,41.30
Myrtletown ,41.30
Miranda ,41.30
Westwood ,41.30
Valle Vista ,41.40
Pinon Hills ,41.40
Tuolumne City ,41.40
Thousand Oaks ,41.50
Peters ,41.50
Pacifica ,41.50
Ione ,41.50
Fort Bidwell ,41.50
Encinitas ,41.50
Elkhorn ,41.50
Derby Acres ,41.50
Bonadelle Ranchos-Madera Ranchos ,41.50
Potter Valley ,41.60
La Crescenta-Montrose ,41.60
Doyle ,41.60
Calabasas ,41.60
Rose Hills ,41.70
Oak Park ,41.70
Martell ,41.70
Dunnigan ,41.70
Yreka ,41.70
Yorba Linda ,41.70
